NAMELSAD,Per_Municipal,Per_Industrial,Per_Mining,Per_Livestock,Per_Aquaculture,Per_Irrigation (total),Per_Crop Irrigation,Per_Golf Course Irrigation,Per_Thermoelectric
Alameda County,91.84628783,0.489875898,2.34051818,0.146962769,0,5.176355323,4.158502068,1.017853255,0
Alpine County,1.019367992,0,0.203873598,0,0,98.77675841,98.77675841,0,0
Amador County,21.76870748,1.033005795,4.913076342,0.579491056,18.74527589,52.28017133,51.54950869,0.730662635,0.680272109
Butte County,3.563256775,0.49719862,0.180574623,0.035867562,2.63070016,93.09240226,93.03303526,0.059366999,0
Calaveras County,41.6298168,1.073910297,0.126342388,1.579279848,0,55.59065066,51.67403664,3.916614024,0
Colusa County,0.351896091,0.120159641,0,0.034331326,0,99.45355973,99.44354643,0.010013303,0.040053214
Contra Costa County,55.96113865,1.335359028,0.323844555,0.159923237,0,34.81928674,33.94370702,0.875579722,7.400447785
Del Norte County,12.37751418,0,0,2.939659618,0,84.6828262,84.32181537,0.36101083,0
El Dorado County,49.93712951,1.598706664,0.035925992,0.323333932,0,48.1049039,46.05712233,2.04778157,0
Fresno County,8.66122629,0.579510366,0.434494927,0.7300397,0.454344949,89.13928099,89.04719894,0.092082047,0.001102779
Glenn County,0.383038169,0.040556983,0.042059093,0.297417872,0,99.23692788,99.23242155,0.004506331,0
Humboldt County,15.52492906,0.648561005,0.486420754,2.310498581,0,81.0295906,80.50263478,0.526955817,0
Imperial County,1.276720076,0.062609893,0.485748423,0.305744979,0.567663034,96.54132514,96.51732468,0.024000459,0.760188456
Inyo County,3.90637611,0.14527845,1.339790153,0.371267151,56.82001614,28.24858757,27.71589992,0.532687651,9.168684423
Kern County,8.817171738,0.128443433,5.665608488,0.635429502,0.236001754,84.46356592,84.31998079,0.143585138,0.053779161
Kings County,4.247267839,0.450002922,0,2.172579043,0,93.1301502,93.08777979,0.042370405,0
Lake County,4.789929704,1.569396763,0.359653425,0.114435181,0,86.30047409,85.84273337,0.457740723,6.866110839
Lassen County,3.419111031,0,0.305920461,0.58484794,15.55695519,79.79125427,79.66528703,0.125967249,0.341911103
Los Angeles County,64.82844022,5.328414427,5.540477788,0.019090862,0.002063877,1.785253599,0.909653785,0.875599814,22.49625922
Madera County,1.956636038,0.572093838,0.001251846,0.773641121,0,96.69637716,96.58997021,0.10640695,0
Marin County,39.9122186,0.283165794,0.042474869,1.684836472,0,58.07730426,57.3410732,0.736231063,0
Mariposa County,3.66182014,0,0.269251481,2.100161551,0,93.96876683,93.75336564,0.215401185,0
Mendocino County,10.84633337,4.11497359,0.208819555,0.429922614,0.012283503,84.38766736,84.21569832,0.171969046,0
Merced County,4.6173244,0.518149021,0.068104845,2.287954646,3.15951259,89.32962745,89.30569872,0.023928729,0.019327051
Modoc County,0.346300358,0,0.046173381,0.473277156,0.155835161,98.97841394,98.78794875,0.190465197,0
Mono County,2.796610169,0.042372881,0.028248588,0.098870056,14.36440678,82.66949153,82.40112994,0.268361582,0
Monterey County,10.12742059,0.572200588,1.751039763,0.256960449,0,44.73231079,44.20514451,0.527166283,42.56006782
Napa County,12.10009503,5.97877732,0,0.126702566,0.467215711,81.32720938,80.72537219,0.601837187,0
Nevada County,18.92473118,0.132340778,0.628618693,0.181968569,0,80.13234078,78.08105873,2.051282051,0
Orange County,81.44324392,3.223624486,2.111109133,0.005340074,0,2.116449207,0.452126239,1.664322968,11.10023318
Placer County,28.44741411,1.010154154,0.157836587,0.157836587,0,70.22675856,68.53264587,1.694112695,0
Plumas County,2.011978289,1.263335205,0.271383118,0.252667041,0.018716077,96.18192027,95.17125211,1.010668164,0
Riverside County,36.05241846,0.42782236,0.935810286,0.339476633,1.445434244,60.67960768,58.2803668,2.399240881,0.119430334
Sacramento County,26.65921298,1.949099795,0.251273658,0.209778925,19.75956108,50.95322622,50.7584315,0.194794716,0.217847345
San Benito County,20.71146245,15.88932806,1.106719368,2.529644269,0,59.76284585,58.73517787,1.027667984,0
San Bernardino County,73.84649027,10.06122895,2.182374809,1.500109337,2.269844741,7.288432101,6.083533785,1.204898316,2.85151979
